id,is_active,distribution_center_id,brand,total_sqft,floor_sqft,other_sqft,floor_perc,cost_per_sqft,total_occupancy_costs
001,true,,,,,,,,
002,true,,,,,,,,
003,true,,,,,,,,
004,true,,,,,,,,
005,true,,,,,,,,
006,true,,,,,,,,
007,true,,,,,,,,
008,true,,,,,,,,
009,true,,,,,,,,
012,true,,,,,,,,
013,true,,,,,,,,
014,true,,,,,,,,
015,true,,,,,,,,
016,true,,,,,,,,
017,true,,,,,,,,
018,true,,,,,,,,
019,true,,,,,,,,
020,true,,,,,,,,
021,true,,,,,,,,
022,true,,,,,,,,
023,false,,,,,,,,
024,true,,,,,,,,
025,true,,,,,,,,
026,true,,,,,,,,
027,true,,,,,,,,
028,true,,,,,,,,
030,true,,,,,,,,
031,true,,,,,,,,
032,true,,,,,,,,
033,true,,,,,,,,
034,true,,,,,,,,
037,true,,,,,,,,
038,true,,,,,,,,
039,true,,,,,,,,
040,true,,,,,,,,
041,true,,,,,,,,
042,true,,,,,,,,
043,true,,,,,,,,
044,true,,,,,,,,
045,true,,,,,,,,
046,true,,,,,,,,
047,true,,,,,,,,
048,true,,,,,,,,
050,true,,,,,,,,
051,true,,,,,,,,
052,true,,,,,,,,
053,true,,,,,,,,
054,true,,,,,,,,
055,true,,,,,,,,
056,true,,,,,,,,
057,true,,,,,,,,
058,true,,,,,,,,
059,true,,,,,,,,
060,true,,,,,,,,
061,true,,,,,,,,
062,false,,,,,,,,
063,true,,,,,,,,
064,true,,,,,,,,
065,true,,,,,,,,
066,true,,,,,,,,
067,true,,,,,,,,
068,true,,,,,,,,
069,true,,,,,,,,
071,true,,,,,,,,
072,true,,,,,,,,
073,true,,,,,,,,
074,false,,,,,,,,
075,true,,,,,,,,
076,true,,,,,,,,
077,true,,,,,,,,
078,true,,,,,,,,
079,true,,,,,,,,
080,true,,,,,,,,
081,true,,,,,,,,
082,true,,,,,,,,
083,true,,,,,,,,
084,true,,,,,,,,
085,true,,,,,,,,
086,true,,,,,,,,
087,true,,,,,,,,
088,true,,,,,,,,
089,false,,,,,,,,
201,true,,,,,,,,
202,true,,,,,,,,
203,true,,,,,,,,
204,true,,,,,,,,
205,true,,,,,,,,
206,true,,,,,,,,
210,true,,,,,,,,
211,true,,,,,,,,
212,true,,,,,,,,
214,true,,,,,,,,
215,true,,,,,,,,
216,true,,,,,,,,
217,true,,,,,,,,
218,true,,,,,,,,
219,true,,,,,,,,
220,false,,,,,,,,
221,true,,,,,,,,
222,true,,,,,,,,
223,true,,,,,,,,
224,true,,,,,,,,
225,true,,,,,,,,
226,true,,,,,,,,
227,true,,,,,,,,
228,true,,,,,,,,
229,true,,,,,,,,
230,true,,,,,,,,
231,true,,,,,,,,
232,true,,,,,,,,
233,true,,,,,,,,
234,true,,,,,,,,
235,true,,,,,,,,
261,true,,,,,,,,
262,true,,,,,,,,
263,true,,,,,,,,
264,true,,,,,,,,
265,true,,,,,,,,
271,true,,,,,,,,
273,true,,,,,,,,
274,true,,,,,,,,
275,false,,,,,,,,
276,true,,,,,,,,
277,true,,,,,,,,
278,true,,,,,,,,
504,false,,,,,,,,
517,false,,,,,,,,
524,false,,,,,,,,
544,false,,,,,,,,
554,false,,,,,,,,
555,false,,,,,,,,
566,false,,,,,,,,
577,false,,,,,,,,
581,false,,,,,,,,
