id,is_active,name,distribution_center_id,brand,total_sqft,floor_sqft,other_sqft,floor_perc,cost_per_sqft,total_occupancy_costs
001,false,Nairn,888,DFA,24228,17387,6841,0.718,14.66,355157
002,false,Brandon,888,DFA,25502,12264,13238,0.481,13.76,350969
003,false,Ellice,888,DFA,56321,37112,19209,0.659,20.47,1152717
004,false,Steinbach,888,DFA,18680,16011,2669,0.857,16.01,299079
005,false,Saskatoon,883,DFA,23054,16590,6464,0.72,28.19,649797
006,false,Selkirk,888,DFA,19007,12861,6146,0.677,5.57,105960
007,false,Prince Albert,883,DFA,17007,12716,4291,0.748,18.35,312054
008,false,Portage,888,DFA,13942,9558,4384,0.686,12.53,174690
009,false,Dryden,888,DFA,13942,11915,2027,0.855,9.58,133548
011,false,Swan River,888,DFA,11794,7581,4213,0.643,10.59,124920
012,false,Kenora,888,DFA,19561,13418,6143,0.686,18.48,361403
014,false,Swift Current,883,DFA,14169,12563,1606,0.887,3.8,53833
038,false,Mississauga Outlet,,,,,,,,
041,false,Gloucester,884,DFA,28260,17536,10724,0.621,20.71,585282
043,false,Merivale,884,DFA,19713,13740,5973,0.697,33.44,659184
074,true,Brentwood,777,AHS,22981,19249,3732,0.838,38.88,893507
076,false,Virtual Store,,,,,,,,
077,true,Saskatoon,883,AHS,22171,19464,2707,0.878,33.71,747466
078,true,Calgary NE,777,AHS,24266,18622,5644,0.767,43.22,1048725
079,true,Brandon,888,AHS,21021,16357,4664,0.778,21.68,455670
080,true,WPG West,888,AHS,28326,25849,2477,0.913,29.17,826287
081,true,WPG East,888,AHS,24472,21066,3406,0.861,32.32,790887
082,true,Calgary SE,777,AHS,29936,27882,2054,0.931,34.27,1025994
083,true,Regina,883,AHS,23813,21190,2623,0.89,28.16,670619
084,true,Edmonton S,866,AHS,27376,21999,5377,0.804,42.76,1170485
085,true,Edmonton N,866,AHS,24593,21833,2760,0.888,33.34,819931
086,true,Medicine Hat,777,AHS,20565,18316,2249,0.891,28.15,578895
087,true,Lethbridge,777,AHS,24606,22300,2306,0.906,24.51,603068
089,true,Red Deer,777,AHS,24040,19901,4139,0.828,29.18,701411
090,true,Stoney Creek,885,AHS,22303,17898,4405,0.802,37.09,827129
091,true,Heartland,885,AHS,26953,23500,3453,0.872,32.96,888480
092,true,Vaughan,885,AHS,24168,20040,4128,0.829,27.55,665890
094,true,Brampton,885,AHS,27462,23748,3714,0.865,34.12,937098
095,true,Burlington,885,AHS,29821,26090,3731,0.875,22.32,665555
096,true,Whitby,885,AHS,21111,19030,2081,0.901,29.9,631220
097,true,Barrie,885,AHS,24341,20749,3592,0.852,33.04,804330
098,true,Scarborough,885,AHS,20615,17191,3424,0.834,39.56,815478
099,true,Richmond,885,AHS,25679,22622,3057,0.881,32.87,843946
176,false,Virtual Store,,,,,,,,
201,true,London,885,AHS,24572,21074,3498,0.858,29.23,718143
202,true,Windsor,885,AHS,25110,21813,3297,0.869,31.34,786872
203,true,Newmarket,885,AHS,34650,26599,8051,0.768,17.02,589781
204,true,Ottawa,885,AHS,28870,20140,8730,0.698,20.27,585114
205,true,Brantford,885,AHS,21608,18125,3483,0.839,15.53,335625
206,true,Guelph,885,AHS,24117,16667,7450,0.691,14.75,355625
207,true,Kitchener,,,,,,,,
208,true,St Catharines,,,,,,,,
209,true,Etobicoke,,,,,,,,
250,true,Vernon,,,,,,,,
251,true,Kelowna,,,,,,,,
252,true,Penticton,,,,,,,,
253,true,Salmon Arm,,,,,,,,
260,true,Langley,,,,,,,,
261,true,Coquitlam,,,,,,,,
262,true,Abbotsford,,,,,,,,
